Date,AG,AI,AR,BE,BL,BS,FR,GE,GL,GR,JU,LU,NE,NW,OW,SG,SH,SO,SZ,TG,TI,UR,VD,VS,ZG,ZH,CH
2020-02-25,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,0.0
2020-02-26,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,2.0
2020-02-27,,,,,,1.0,,1.0,,,1.0,,,,,,,,,,1.0,,,,,2.0,6.0
2020-02-28,1.0,,,1.0,1.0,1.0,,4.0,,,1.0,,,,,,,,,,1.0,,,1.0,,2.0,13.0
2020-02-29,,,,,2.0,1.0,,8.0,,,1.0,,,,,,,,,,2.0,,,1.0,0.0,6.0,23.0
2020-03-01,,,,2.0,2.0,1.0,1.0,9.0,,,1.0,,1.0,,,,,,,,2.0,,,2.0,0.0,7.0,29.0
2020-03-02,2.0,,,4.0,2.0,1.0,2.0,10.0,,,1.0,,1.0,,,0.0,,,,,4.0,,,3.0,0.0,10.0,40.0
2020-03-03,6.0,,,,2.0,3.0,,13.0,,,2.0,,1.0,,,,,,1.0,,8.0,,,3.0,1.0,13.0,59.0
2020-03-04,7.0,,,6.0,2.0,3.0,4.0,14.0,,,2.0,0.0,8.0,,,1.0,,,3.0,,13.0,,,4.0,1.0,15.0,83.0
2020-03-05,9.0,,1.0,,6.0,8.0,6.0,17.0,,,4.0,,9.0,,,,,,,,25.0,,,5.0,2.0,23.0,125.0
2020-03-06,12.0,,1.0,17.0,6.0,15.0,,25.0,,,4.0,,13.0,,,2.0,,1.0,6.0,,28.0,,23.0,6.0,3.0,29.0,197.0
2020-03-07,,,1.0,,15.0,21.0,,38.0,,,5.0,,18.0,,,,,,,,41.0,,30.0,7.0,3.0,34.0,257.0
2020-03-08,,,1.0,,19.0,24.0,8.0,40.0,,,5.0,,24.0,,,,,,,,49.0,,40.0,12.0,3.0,40.0,303.0
2020-03-09,14.0,,2.0,34.0,20.0,28.0,11.0,56.0,,,7.0,,27.0,,,,,,,,61.0,,51.0,17.0,10.0,49.0,396.0
2020-03-10,17.0,,,,22.0,33.0,,76.0,1.0,,7.0,,31.0,,,,,,,,75.0,,130.0,22.0,10.0,62.0,542.0
2020-03-11,18.0,,,,26.0,49.0,16.0,109.0,1.0,,7.0,,37.0,4.0,,,1.0,,,,108.0,,203.0,30.0,11.0,101.0,766.0
2020-03-12,27.0,,5.0,,26.0,73.0,22.0,150.0,3.0,,12.0,,46.0,5.0,,15.0,1.0,,,,163.0,2.0,277.0,53.0,11.0,140.0,1072.0
2020-03-13,32.0,,,,42.0,92.0,29.0,222.0,6.0,,17.0,,59.0,5.0,1.0,,1.0,,9.0,,206.0,,370.0,76.0,11.0,163.0,1398.0
2020-03-14,,2.0,,,47.0,100.0,36.0,340.0,8.0,,18.0,,68.0,5.0,,,1.0,,,,265.0,,477.0,98.0,13.0,218.0,1795.0
2020-03-15,,,,,54.0,,40.0,423.0,10.0,,19.0,,74.0,8.0,,,1.0,,13.0,,293.0,,566.0,115.0,13.0,250.0,2071.0
2020-03-16,52.0,4.0,,123.0,76.0,143.0,45.0,544.0,10.0,,25.0,,93.0,10.0,,,2.0,,,17.0,368.0,,796.0,172.0,20.0,326.0,2863.0
2020-03-17,67.0,5.0,,,89.0,164.0,59.0,692.0,12.0,101.0,29.0,,114.0,12.0,,47.0,2.0,,,23.0,426.0,,1039.0,225.0,29.0,429.0,3709.0
2020-03-18,101.0,,11.0,193.0,116.0,181.0,86.0,848.0,14.0,128.0,32.0,65.0,146.0,18.0,,61.0,8.0,,,32.0,511.0,5.0,1303.0,312.0,33.0,568.0,4792.0
2020-03-19,118.0,6.0,,282.0,134.0,220.0,111.0,1027.0,16.0,182.0,36.0,,175.0,25.0,,85.0,12.0,,,37.0,638.0,7.0,1513.0,349.0,37.0,679.0,5780.0
2020-03-20,168.0,,,377.0,184.0,270.0,145.0,1194.0,20.0,226.0,44.0,92.0,189.0,28.0,,98.0,17.0,66.0,,50.0,849.0,7.0,1754.0,436.0,48.0,711.0,7004.0
2020-03-21,,,,418.0,282.0,297.0,167.0,1331.0,25.0,258.0,54.0,109.0,200.0,33.0,,,28.0,,,57.0,916.0,12.0,1873.0,498.0,53.0,711.0,7685.0
2020-03-22,232.0,,,,289.0,356.0,202.0,1430.0,29.0,284.0,61.0,131.0,216.0,36.0,,,30.0,,,76.0,945.0,,1975.0,535.0,53.0,711.0,8216.0
2020-03-23,241.0,,30.0,470.0,302.0,374.0,226.0,1582.0,31.0,300.0,69.0,156.0,247.0,39.0,25.0,185.0,32.0,95.0,,82.0,1162.0,22.0,2281.0,628.0,53.0,1073.0,9724.0
2020-03-24,266.0,8.0,33.0,532.0,306.0,410.0,255.0,1699.0,33.0,343.0,82.0,205.0,265.0,42.0,25.0,200.0,34.0,104.0,97.0,88.0,1209.0,25.0,2546.0,728.0,72.0,1221.0,10828.0
2020-03-25,319.0,9.0,34.0,624.0,341.0,462.0,293.0,1837.0,40.0,393.0,92.0,228.0,280.0,44.0,27.0,228.0,35.0,129.0,,97.0,1354.0,,2738.0,793.0,80.0,1368.0,11967.0
2020-03-26,349.0,11.0,42.0,660.0,422.0,501.0,309.0,2033.0,43.0,433.0,100.0,253.0,299.0,48.0,30.0,280.0,36.0,141.0,107.0,111.0,1401.0,38.0,2943.0,874.0,87.0,1500.0,13051.0
