Date,AG,AI,AR,BE,BL,BS,FR,GE,GL,GR,JU,LU,NE,NW,OW,SG,SH,SO,SZ,TG,TI,UR,VD,VS,ZG,ZH,CH,AG_diff,AG_pc,AG_diff_pc,AI_diff,AI_pc,AI_diff_pc,AR_diff,AR_pc,AR_diff_pc,BE_diff,BE_pc,BE_diff_pc,BL_diff,BL_pc,BL_diff_pc,BS_diff,BS_pc,BS_diff_pc,FR_diff,FR_pc,FR_diff_pc,GE_diff,GE_pc,GE_diff_pc,GL_diff,GL_pc,GL_diff_pc,GR_diff,GR_pc,GR_diff_pc,JU_diff,JU_pc,JU_diff_pc,LU_diff,LU_pc,LU_diff_pc,NE_diff,NE_pc,NE_diff_pc,NW_diff,NW_pc,NW_diff_pc,OW_diff,OW_pc,OW_diff_pc,SG_diff,SG_pc,SG_diff_pc,SH_diff,SH_pc,SH_diff_pc,SO_diff,SO_pc,SO_diff_pc,SZ_diff,SZ_pc,SZ_diff_pc,TG_diff,TG_pc,TG_diff_pc,TI_diff,TI_pc,TI_diff_pc,UR_diff,UR_pc,UR_diff_pc,VD_diff,VD_pc,VD_diff_pc,VS_diff,VS_pc,VS_diff_pc,ZG_diff,ZG_pc,ZG_diff_pc,ZH_diff,ZH_pc,ZH_diff_pc,CH_diff,CH_pc,CH_diff_pc
2020-02-25,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,
2020-02-26,1.0,,,,,,,1.0,,2.0,,,,,,,,,,,1.0,,,,,,5.0,,1.4744760817862393e-06,,,,,,,,,,,,,,,,,,,,1.0,2.0191863083014806e-06,2.0191863083014806e-06,,,,,1.0081712278013298e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.830111251673303e-06,2.830111251673303e-06,,,,,,,,,,,,,,,,5.0,5.85383443717138e-07,5.85383443717138e-07
2020-02-27,1.0,,,,,1.0,,1.0,,2.0,1.0,1.0,,,,,,,,,1.0,,,,,2.0,10.0,0.0,1.4744760817862393e-06,0.0,,,,,,,,,,,,,,5.134366367846544e-06,,,,,0.0,2.0191863083014806e-06,0.0,,,,0.0,1.0081712278013298e-05,0.0,,1.3620452471431101e-05,,,2.4416625768818503e-06,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.830111251673303e-06,0.0,,,,,,,,,,,,,,1.3149520568480073e-06,,5.0,1.170766887434276e-06,5.85383443717138e-07
2020-02-28,1.0,,,1.0,1.0,1.0,,4.0,,6.0,1.0,1.0,,,,,,,,,1.0,,,1.0,,2.0,20.0,0.0,1.4744760817862393e-06,0.0,,,,,,,,9.662050461024737e-07,,,3.4706315161106715e-06,,0.0,5.134366367846544e-06,0.0,,,,3.0,8.076745233205922e-06,6.057558924904442e-06,,,,4.0,3.0245136834039893e-05,2.0163424556026596e-05,0.0,1.3620452471431101e-05,0.0,0.0,2.4416625768818503e-06,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.830111251673303e-06,0.0,,,,,,,,2.907357067058191e-06,,,,,0.0,1.3149520568480073e-06,0.0,10.0,2.341533774868552e-06,1.170766887434276e-06
2020-02-29,3.0,,,,2.0,1.0,0.0,8.0,,6.0,1.0,2.0,,,,,,,,,2.0,,,1.0,0.0,6.0,33.0,2.0,4.423428245358718e-06,2.9489521635724785e-06,,,,,,,,9.662050461024737e-07,,1.0,6.941263032221343e-06,3.4706315161106715e-06,0.0,5.134366367846544e-06,0.0,,0.0,,4.0,1.6153490466411845e-05,8.076745233205922e-06,,,,0.0,3.0245136834039893e-05,0.0,0.0,1.3620452471431101e-05,0.0,1.0,4.8833251537637006e-06,2.4416625768818503e-06,,,,,,,,,,,,,,,,,,,,,,,,,1.0,5.660222503346606e-06,2.830111251673303e-06,,,,,,,0.0,2.907357067058191e-06,0.0,,0.0,,4.0,3.944856170544022e-06,2.6299041136960146e-06,13.0,3.863530728533111e-06,1.5219969536645588e-06
2020-03-01,4.0,,,2.0,2.0,1.0,1.0,9.0,,6.0,1.0,3.0,1.0,,,,,,,,2.0,,,2.0,0.0,7.0,41.0,1.0,5.897904327144957e-06,1.4744760817862393e-06,,,,,,,1.0,1.9324100922049473e-06,9.662050461024737e-07,0.0,6.941263032221343e-06,0.0,0.0,5.134366367846544e-06,0.0,1.0,3.1376092672427318e-06,3.1376092672427318e-06,1.0,1.8172676774713326e-05,2.0191863083014806e-06,,,,0.0,3.0245136834039893e-05,0.0,0.0,1.3620452471431101e-05,0.0,1.0,7.324987730645551e-06,2.4416625768818503e-06,,5.619113978107932e-06,,,,,,,,,,,,,,,,,,,,,,,0.0,5.660222503346606e-06,0.0,,,,,,,1.0,5.814714134116382e-06,2.907357067058191e-06,0.0,0.0,0.0,1.0,4.602332198968026e-06,6.574760284240036e-07,8.0,4.800144238480532e-06,9.366135099474209e-07
2020-03-02,7.0,,,4.0,2.0,1.0,2.0,10.0,,9.0,1.0,4.0,1.0,,,1.0,,,,,4.0,,,4.0,0.0,10.0,60.0,3.0,1.0321332572503675e-05,4.423428245358718e-06,,,,,,,2.0,3.864820184409895e-06,1.9324100922049473e-06,0.0,6.941263032221343e-06,0.0,0.0,5.134366367846544e-06,0.0,1.0,6.2752185344854636e-06,3.1376092672427318e-06,1.0,2.0191863083014807e-05,2.0191863083014806e-06,,,,3.0,4.536770525105984e-05,1.5122568417019947e-05,0.0,1.3620452471431101e-05,0.0,1.0,9.766650307527401e-06,2.4416625768818503e-06,0.0,5.619113978107932e-06,0.0,,,,,,,,1.9696787650902013e-06,,,,,,,,,,,,,,2.0,1.1320445006693213e-05,5.660222503346606e-06,,,,,,,2.0,1.1629428268232763e-05,5.814714134116382e-06,0.0,0.0,0.0,3.0,6.574760284240037e-06,1.972428085272011e-06,19.0,7.024601324605656e-06,2.2244570861251246e-06
2020-03-03,7.0,,,,2.0,3.0,2.0,13.0,,9.0,1.0,4.0,1.0,,,1.0,,,1.0,,8.0,,,4.0,1.0,13.0,74.0,0.0,1.0321332572503675e-05,0.0,,,,,,,,3.864820184409895e-06,,0.0,6.941263032221343e-06,0.0,2.0,1.5403099103539633e-05,1.0268732735693088e-05,0.0,6.2752185344854636e-06,0.0,3.0,2.624942200791925e-05,6.057558924904442e-06,,,,0.0,4.536770525105984e-05,0.0,0.0,1.3620452471431101e-05,0.0,0.0,9.766650307527401e-06,0.0,0.0,5.619113978107932e-06,0.0,,,,,,,0.0,1.9696787650902013e-06,0.0,,,,,,,,6.282788301448183e-06,,,,,4.0,2.2640890013386425e-05,1.1320445006693213e-05,,,,,,,0.0,1.1629428268232763e-05,0.0,1.0,7.884134755631242e-06,7.884134755631242e-06,3.0,8.547188369512047e-06,1.972428085272011e-06,14.0,8.663674967013643e-06,1.6390736424079865e-06
2020-03-04,10.0,,,6.0,2.0,3.0,4.0,15.0,,12.0,1.0,5.0,8.0,,,1.0,,,3.0,,13.0,,,5.0,1.0,15.0,104.0,3.0,1.4744760817862393e-05,4.423428245358718e-06,,,,,,,2.0,5.797230276614843e-06,1.9324100922049473e-06,0.0,6.941263032221343e-06,0.0,0.0,1.5403099103539633e-05,0.0,2.0,1.2550437068970927e-05,6.2752185344854636e-06,2.0,3.028779462452221e-05,4.038372616602961e-06,,,,3.0,6.049027366807979e-05,1.5122568417019947e-05,0.0,1.3620452471431101e-05,0.0,1.0,1.2208312884409253e-05,2.4416625768818503e-06,7.0,4.495291182486346e-05,3.9333797846755525e-05,,,,,,,0.0,1.9696787650902013e-06,0.0,,,,,,,2.0,1.8848364904344547e-05,1.2565576602896366e-05,,,,5.0,3.6791446271752944e-05,1.4150556258366517e-05,,,,,,,1.0,1.4536785335290953e-05,2.907357067058191e-06,0.0,7.884134755631242e-06,0.0,2.0,9.862140426360054e-06,1.3149520568480073e-06,30.0,1.217597562931647e-05,3.512300662302828e-06
2020-03-05,11.0,,1.0,,6.0,8.0,6.0,20.0,,14.0,2.0,6.0,9.0,,,1.0,,,,1.0,25.0,,,6.0,2.0,23.0,150.0,1.0,1.6219236899648632e-05,1.4744760817862393e-06,,,,,1.8104790527573596e-05,,,5.797230276614843e-06,,4.0,2.082378909666403e-05,1.3882526064442686e-05,5.0,4.1074930942772354e-05,2.567183183923272e-05,2.0,1.882565560345639e-05,6.2752185344854636e-06,5.0,4.0383726166029614e-05,1.0095931541507403e-05,,,,2.0,7.057198594609308e-05,1.0081712278013298e-05,1.0,2.7240904942862202e-05,1.3620452471431101e-05,1.0,1.4649975461291103e-05,2.4416625768818503e-06,1.0,5.057202580297139e-05,5.619113978107932e-06,,,,,,,0.0,1.9696787650902013e-06,0.0,,,,,,,,1.8848364904344547e-05,,,3.617002806794178e-06,,12.0,7.075278129183258e-05,3.396133502007964e-05,,,,,,,1.0,1.7444142402349143e-05,2.907357067058191e-06,1.0,1.5768269511262485e-05,7.884134755631242e-06,8.0,1.5121948653752085e-05,5.259808227392029e-06,46.0,1.756150331151414e-05,5.38552768219767e-06
