Canton,Date,Time
AG,2020-08-05,00:00
AI,2020-08-05,08:00
AR,2020-08-06,13:15
BE,2020-08-06,08:00
BL,2020-08-06,00:00
BS,2020-08-06,09:30
FR,2020-08-06,00:00
GE,2020-08-05,00:00
GL,2020-08-06,11:30
GR,2020-08-05,00:00
JU,2020-08-06,00:00
LU,2020-08-06,00:00
NE,2020-08-05,00:00
NW,2020-07-31,00:00
OW,2020-08-06,00:00
SG,2020-08-06,00:00
SH,2020-08-06,09:30
SO,2020-08-05,01:00
SZ,2020-08-06,10:00
TG,2020-08-06,10:00
TI,2020-08-06,08:00
UR,2020-08-05,16:00
VD,2020-08-05,00:00
VS,2020-08-05,00:00
ZG,2020-08-06,08:00
ZH,2020-08-06,14:30
