Canton,Date,Time
AG,2020-06-08,14:45
AI,2020-06-09,08:00
AR,2020-06-08,11:30
BE,2020-06-09,08:00
BL,2020-06-09,00:00
BS,2020-06-09,10:00
FR,2020-06-08,00:00
GE,2020-06-09,00:00
GL,2020-06-09,12:00
GR,2020-06-04,00:00
JU,2020-06-08,00:00
LU,2020-06-09,00:00
NE,2020-06-09,00:00
NW,2020-06-09,00:00
OW,2020-06-09,15:30
SG,2020-06-08,00:00
SH,2020-06-09,09:30
SO,2020-06-09,00:00
SZ,2020-06-10,10:00
TG,2020-06-09,00:00
TI,2020-06-09,08:00
UR,2020-06-02,17:00
VD,2020-06-08,00:00
VS,2020-06-09,00:00
ZG,2020-06-09,08:00
ZH,2020-06-09,14:30
