Canton,Date,Time
AG,2020-08-18,00:00
AI,2020-08-19,08:00
AR,2020-08-19,16:20
BE,2020-08-19,08:00
BL,2020-08-19,00:00
BS,2020-08-19,09:00
FR,2020-08-20,00:00
GE,2020-08-19,00:00
GL,2020-08-19,11:30
GR,2020-08-19,00:00
JU,2020-08-19,00:00
LU,2020-08-19,00:00
NE,2020-08-18,00:00
NW,2020-08-19,00:00
OW,2020-08-19,00:00
SG,2020-08-19,00:00
SH,2020-08-19,09:30
SO,2020-08-19,01:00
SZ,2020-08-20,09:00
TG,2020-08-19,10:00
TI,2020-08-19,08:00
UR,2020-08-19,16:00
VD,2020-08-17,00:00
VS,2020-08-18,00:00
ZG,2020-08-20,08:00
ZH,2020-08-19,14:30
