Canton,Date,Time
AG,2020-05-15,17:45
AI,2020-05-16,11:00
AR,2020-05-15,11:00
BE,2020-05-16,08:00
BL,2020-05-15,00:00
BS,2020-05-15,08:30
FR,2020-05-15,00:00
GE,2020-05-15,12:00
GL,2020-05-15,12:30
GR,2020-05-14,00:00
JU,2020-05-15,00:00
LU,2020-05-16,00:00
NE,2020-05-15,00:00
NW,2020-05-15,00:00
OW,2020-05-15,14:30
SG,2020-05-15,00:00
SH,2020-05-15,09:30
SO,2020-05-15,00:00
SZ,2020-05-16,00:01
TG,2020-05-15,00:00
TI,2020-05-16,08:00
UR,2020-05-16,14:00
VD,2020-05-14,00:00
VS,2020-05-15,00:00
ZG,2020-05-15,08:00
ZH,2020-05-15,14:30
