Date,AG,AI,AR,BE,BL,BS,FR,GE,GL,GR,JU,LU,NE,NW,OW,SG,SH,SO,SZ,TG,TI,UR,VD,VS,ZG,ZH,CH,AG_diff,AG_pc,AG_diff_pc,AI_diff,AI_pc,AI_diff_pc,AR_diff,AR_pc,AR_diff_pc,BE_diff,BE_pc,BE_diff_pc,BL_diff,BL_pc,BL_diff_pc,BS_diff,BS_pc,BS_diff_pc,FR_diff,FR_pc,FR_diff_pc,GE_diff,GE_pc,GE_diff_pc,GL_diff,GL_pc,GL_diff_pc,GR_diff,GR_pc,GR_diff_pc,JU_diff,JU_pc,JU_diff_pc,LU_diff,LU_pc,LU_diff_pc,NE_diff,NE_pc,NE_diff_pc,NW_diff,NW_pc,NW_diff_pc,OW_diff,OW_pc,OW_diff_pc,SG_diff,SG_pc,SG_diff_pc,SH_diff,SH_pc,SH_diff_pc,SO_diff,SO_pc,SO_diff_pc,SZ_diff,SZ_pc,SZ_diff_pc,TG_diff,TG_pc,TG_diff_pc,TI_diff,TI_pc,TI_diff_pc,UR_diff,UR_pc,UR_diff_pc,VD_diff,VD_pc,VD_diff_pc,VS_diff,VS_pc,VS_diff_pc,ZG_diff,ZG_pc,ZG_diff_pc,ZH_diff,ZH_pc,ZH_diff_pc,CH_diff,CH_pc,CH_diff_pc
2020-05-31,,,,9.0,0.0,5.0,5.0,2.0,,2.0,3.0,,2.0,1.0,,,,,,0.0,30.0,0.0,25.0,15.0,0.0,11.0,165.0,,,,,,,,,,,8.695845414922264e-06,,,0.0,,,2.567183183923272e-05,,,1.5688046336213657e-05,,,4.038372616602961e-06,,,,,,1.0081712278013298e-05,,,4.0861357414293305e-05,,,,,,1.1238227956215864e-05,,,2.3135830460634384e-05,,,,,,,,,,,,,,,,,,0.0,,,8.490333755019909e-05,,,0.0,,,3.128343417026948e-05,,,4.3610356005872864e-05,,,0.0,,,7.23223631266404e-06,,,1.9317653642665555e-05,
2020-06-01,,,,9.0,0.0,5.0,5.0,2.0,,2.0,3.0,,2.0,1.0,,,,,,0.0,28.0,0.0,24.0,15.0,0.0,11.0,162.0,,,,,,,,,,0.0,8.695845414922264e-06,0.0,0.0,0.0,0.0,0.0,2.567183183923272e-05,0.0,0.0,1.5688046336213657e-05,0.0,0.0,4.038372616602961e-06,0.0,,,,0.0,1.0081712278013298e-05,0.0,0.0,4.0861357414293305e-05,0.0,,,,0.0,1.1238227956215864e-05,0.0,0.0,2.3135830460634384e-05,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,-2.0,7.92431150468525e-05,-5.660222503346606e-06,0.0,0.0,0.0,-1.0,3.0032096803458695e-05,-1.251337366810779e-06,0.0,4.3610356005872864e-05,0.0,0.0,0.0,0.0,0.0,7.23223631266404e-06,0.0,-3.0,1.8966423576435273e-05,-3.512300662302828e-07
2020-06-02,4.0,,1.0,6.0,0.0,5.0,5.0,2.0,0.0,2.0,1.0,,2.0,0.0,0.0,,9.0,,,0.0,26.0,0.0,27.0,15.0,0.0,11.0,161.0,,5.897904327144957e-06,,,,,,1.8104790527573596e-05,,-3.0,5.797230276614843e-06,-2.8986151383074214e-06,0.0,0.0,0.0,0.0,2.567183183923272e-05,0.0,0.0,1.5688046336213657e-05,0.0,0.0,4.038372616602961e-06,0.0,,0.0,,0.0,1.0081712278013298e-05,0.0,-2.0,1.3620452471431101e-05,-2.7240904942862202e-05,,,,0.0,1.1238227956215864e-05,0.0,-1.0,0.0,-2.3135830460634384e-05,,0.0,,,,,,0.00010976814528423851,,,,,,,,0.0,0.0,0.0,-2.0,7.358289254350589e-05,-5.660222503346606e-06,0.0,0.0,0.0,3.0,3.378610890389104e-05,3.754012100432337e-06,0.0,4.3610356005872864e-05,0.0,0.0,0.0,0.0,0.0,7.23223631266404e-06,0.0,-1.0,1.8849346887691845e-05,-1.1707668874342761e-07
2020-06-03,2.0,,1.0,6.0,0.0,6.0,5.0,2.0,0.0,2.0,1.0,20.0,2.0,0.0,0.0,8.0,4.0,,,0.0,20.0,,27.0,14.0,0.0,9.0,137.0,-2.0,2.9489521635724785e-06,-2.9489521635724785e-06,,,,0.0,1.8104790527573596e-05,0.0,0.0,5.797230276614843e-06,0.0,0.0,0.0,0.0,1.0,3.0806198207079265e-05,5.134366367846544e-06,0.0,1.5688046336213657e-05,0.0,0.0,4.038372616602961e-06,0.0,0.0,0.0,0.0,0.0,1.0081712278013298e-05,0.0,0.0,1.3620452471431101e-05,0.0,,4.883325153763701e-05,,0.0,1.1238227956215864e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.575743012072161e-05,,-5.0,4.878584234855045e-05,-6.098230293568806e-05,,,,,,,0.0,0.0,0.0,-6.0,5.660222503346607e-05,-1.698066751003982e-05,,0.0,,0.0,3.378610890389104e-05,0.0,-1.0,4.0702998938814674e-05,-2.907357067058191e-06,0.0,0.0,0.0,-2.0,5.917284255816033e-06,-1.3149520568480073e-06,-24.0,1.603950635784958e-05,-2.8098405298422626e-06
2020-06-04,3.0,,1.0,6.0,0.0,6.0,5.0,2.0,0.0,2.0,1.0,,2.0,0.0,0.0,,4.0,,,0.0,18.0,,27.0,15.0,0.0,9.0,137.0,1.0,4.423428245358718e-06,1.4744760817862393e-06,,,,0.0,1.8104790527573596e-05,0.0,0.0,5.797230276614843e-06,0.0,0.0,0.0,0.0,0.0,3.0806198207079265e-05,0.0,0.0,1.5688046336213657e-05,0.0,0.0,4.038372616602961e-06,0.0,0.0,0.0,0.0,0.0,1.0081712278013298e-05,0.0,0.0,1.3620452471431101e-05,0.0,,4.883325153763701e-05,,0.0,1.1238227956215864e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.575743012072161e-05,,0.0,4.878584234855045e-05,0.0,,,,,,,0.0,0.0,0.0,-2.0,5.094200253011946e-05,-5.660222503346606e-06,,0.0,,0.0,3.378610890389104e-05,0.0,1.0,4.3610356005872864e-05,2.907357067058191e-06,0.0,0.0,0.0,0.0,5.917284255816033e-06,0.0,0.0,1.603950635784958e-05,0.0
2020-06-05,2.0,,1.0,5.0,0.0,6.0,5.0,2.0,0.0,2.0,1.0,,3.0,0.0,0.0,,5.0,,,0.0,17.0,,28.0,15.0,0.0,8.0,136.0,-1.0,2.9489521635724785e-06,-1.4744760817862393e-06,,,,0.0,1.8104790527573596e-05,0.0,-1.0,4.831025230512369e-06,-9.662050461024737e-07,0.0,0.0,0.0,0.0,3.0806198207079265e-05,0.0,0.0,1.5688046336213657e-05,0.0,0.0,4.038372616602961e-06,0.0,0.0,0.0,0.0,0.0,1.0081712278013298e-05,0.0,0.0,1.3620452471431101e-05,0.0,,4.883325153763701e-05,,1.0,1.6857341934323796e-05,5.619113978107932e-06,0.0,0.0,0.0,0.0,0.0,0.0,,1.575743012072161e-05,,1.0,6.098230293568806e-05,1.2196460587137613e-05,,,,,,,0.0,0.0,0.0,-1.0,4.8111891278446155e-05,-2.830111251673303e-06,,0.0,,1.0,3.503744627070181e-05,1.251337366810779e-06,0.0,4.3610356005872864e-05,0.0,0.0,0.0,0.0,-1.0,5.259808227392029e-06,-6.574760284240036e-07,-1.0,1.5922429669106156e-05,-1.1707668874342761e-07
2020-06-06,,,,5.0,0.0,5.0,5.0,3.0,,2.0,1.0,,1.0,0.0,,,,,,0.0,15.0,,24.0,15.0,0.0,7.0,127.0,,2.9489521635724785e-06,,,,,,1.8104790527573596e-05,,0.0,4.831025230512369e-06,0.0,0.0,0.0,0.0,-1.0,2.567183183923272e-05,-5.134366367846544e-06,0.0,1.5688046336213657e-05,0.0,1.0,6.057558924904442e-06,2.0191863083014806e-06,,0.0,,0.0,1.0081712278013298e-05,0.0,0.0,1.3620452471431101e-05,0.0,,4.883325153763701e-05,,-2.0,5.619113978107932e-06,-1.1238227956215864e-05,0.0,0.0,0.0,,0.0,,,1.575743012072161e-05,,,6.098230293568806e-05,,,,,,,,0.0,0.0,0.0,-2.0,4.2451668775099546e-05,-5.660222503346606e-06,,0.0,,-4.0,3.0032096803458695e-05,-5.005349467243116e-06,0.0,4.3610356005872864e-05,0.0,0.0,0.0,0.0,-1.0,4.602332198968026e-06,-6.574760284240036e-07,-9.0,1.4868739470415306e-05,-1.0536901986908485e-06
2020-06-07,,,,5.0,0.0,4.0,5.0,3.0,,1.0,1.0,,1.0,0.0,,,,,,0.0,14.0,,24.0,15.0,0.0,7.0,124.0,,2.9489521635724785e-06,,,,,,1.8104790527573596e-05,,0.0,4.831025230512369e-06,0.0,0.0,0.0,0.0,-1.0,2.0537465471386177e-05,-5.134366367846544e-06,0.0,1.5688046336213657e-05,0.0,0.0,6.057558924904442e-06,0.0,,0.0,,-1.0,5.040856139006649e-06,-5.040856139006649e-06,0.0,1.3620452471431101e-05,0.0,,4.883325153763701e-05,,0.0,5.619113978107932e-06,0.0,0.0,0.0,0.0,,0.0,,,1.575743012072161e-05,,,6.098230293568806e-05,,,,,,,,0.0,0.0,0.0,-1.0,3.962155752342625e-05,-2.830111251673303e-06,,0.0,,0.0,3.0032096803458695e-05,0.0,0.0,4.3610356005872864e-05,0.0,0.0,0.0,0.0,0.0,4.602332198968026e-06,0.0,-3.0,1.4517509404185023e-05,-3.512300662302828e-07
2020-06-08,4.0,,0.0,3.0,0.0,4.0,5.0,3.0,0.0,0.0,1.0,5.0,2.0,0.0,0.0,9.0,5.0,,,0.0,13.0,,25.0,15.0,0.0,7.0,109.0,2.0,5.897904327144957e-06,2.9489521635724785e-06,,,,-1.0,0.0,-1.8104790527573596e-05,-2.0,2.8986151383074214e-06,-1.9324100922049473e-06,0.0,0.0,0.0,0.0,2.0537465471386177e-05,0.0,0.0,1.5688046336213657e-05,0.0,0.0,6.057558924904442e-06,0.0,0.0,0.0,0.0,-1.0,0.0,-5.040856139006649e-06,0.0,1.3620452471431101e-05,0.0,-15.0,1.2208312884409253e-05,-3.6624938653227756e-05,1.0,1.1238227956215864e-05,5.619113978107932e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.7727108885811813e-05,1.9696787650902013e-06,0.0,6.098230293568806e-05,0.0,,,,,,,0.0,0.0,0.0,-1.0,3.6791446271752944e-05,-2.830111251673303e-06,,0.0,,1.0,3.128343417026948e-05,1.251337366810779e-06,0.0,4.3610356005872864e-05,0.0,0.0,0.0,0.0,0.0,4.602332198968026e-06,0.0,-15.0,1.2761359073033609e-05,-1.756150331151414e-06
2020-06-09,3.0,,,3.0,0.0,4.0,4.0,3.0,0.0,0.0,1.0,,2.0,0.0,0.0,,7.0,,,0.0,12.0,,24.0,15.0,0.0,6.0,106.0,-1.0,4.423428245358718e-06,-1.4744760817862393e-06,,,,,0.0,,0.0,2.8986151383074214e-06,0.0,0.0,0.0,0.0,0.0,2.0537465471386177e-05,0.0,-1.0,1.2550437068970927e-05,-3.1376092672427318e-06,0.0,6.057558924904442e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3620452471431101e-05,0.0,,1.2208312884409253e-05,,0.0,1.1238227956215864e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.7727108885811813e-05,,2.0,8.537522410996328e-05,2.4392921174275225e-05,,,,,,,0.0,0.0,0.0,-1.0,3.396133502007964e-05,-2.830111251673303e-06,,0.0,,-1.0,3.0032096803458695e-05,-1.251337366810779e-06,0.0,4.3610356005872864e-05,0.0,0.0,0.0,0.0,-1.0,3.944856170544022e-06,-6.574760284240036e-07,-3.0,1.2410129006803326e-05,-3.512300662302828e-07
