Date,AG,AI,AR,BE,BL,BS,FR,GE,GL,GR,JU,LU,NE,NW,OW,SG,SH,SO,SZ,TG,TI,UR,VD,VS,ZG,ZH,CH,AG_diff,AG_pc,AG_diff_pc,AI_diff,AI_pc,AI_diff_pc,AR_diff,AR_pc,AR_diff_pc,BE_diff,BE_pc,BE_diff_pc,BL_diff,BL_pc,BL_diff_pc,BS_diff,BS_pc,BS_diff_pc,FR_diff,FR_pc,FR_diff_pc,GE_diff,GE_pc,GE_diff_pc,GL_diff,GL_pc,GL_diff_pc,GR_diff,GR_pc,GR_diff_pc,JU_diff,JU_pc,JU_diff_pc,LU_diff,LU_pc,LU_diff_pc,NE_diff,NE_pc,NE_diff_pc,NW_diff,NW_pc,NW_diff_pc,OW_diff,OW_pc,OW_diff_pc,SG_diff,SG_pc,SG_diff_pc,SH_diff,SH_pc,SH_diff_pc,SO_diff,SO_pc,SO_diff_pc,SZ_diff,SZ_pc,SZ_diff_pc,TG_diff,TG_pc,TG_diff_pc,TI_diff,TI_pc,TI_diff_pc,UR_diff,UR_pc,UR_diff_pc,VD_diff,VD_pc,VD_diff_pc,VS_diff,VS_pc,VS_diff_pc,ZG_diff,ZG_pc,ZG_diff_pc,ZH_diff,ZH_pc,ZH_diff_pc,CH_diff,CH_pc,CH_diff_pc
2020-02-25,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,
2020-02-26,,,,,,,,1.0,,0.0,,,,,,,,,,,0.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,2.0191863083014806e-06,2.0191863083014806e-06,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,1.0,1.1707668874342761e-07,1.1707668874342761e-07
2020-02-27,,,,,,,,1.0,,0.0,1.0,,,,,,,,,,0.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,0.0,2.0191863083014806e-06,0.0,,,,0.0,0.0,0.0,,1.3620452471431101e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,1.0,2.3415337748685523e-07,1.1707668874342761e-07
2020-02-28,,,,,,,,2.0,,0.0,1.0,,,,,,,,,,0.0,,4.0,6.0,,,13.0,,,,,,,,,,,,,,,,,,,,,,1.0,4.038372616602961e-06,2.0191863083014806e-06,,,,0.0,0.0,0.0,0.0,1.3620452471431101e-05,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,5.005349467243116e-06,,,1.7444142402349143e-05,,,,,,,,11.0,1.5219969536645588e-06,1.2878435761777038e-06
2020-02-29,,,,,1.0,,0.0,3.0,,0.0,1.0,,,,,,,,,,0.0,,4.0,6.0,0.0,,15.0,,,,,,,,,,,,,,3.4706315161106715e-06,,,,,,0.0,,1.0,6.057558924904442e-06,2.0191863083014806e-06,,,,0.0,0.0,0.0,0.0,1.3620452471431101e-05,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,5.005349467243116e-06,0.0,0.0,1.7444142402349143e-05,0.0,,0.0,,,,,2.0,1.756150331151414e-06,2.3415337748685523e-07
2020-03-01,,,,,1.0,,0.0,3.0,,0.0,1.0,,,,,,,,,,0.0,,4.0,7.0,0.0,,16.0,,,,,,,,,,,,,0.0,3.4706315161106715e-06,0.0,,,,0.0,0.0,0.0,0.0,6.057558924904442e-06,0.0,,,,0.0,0.0,0.0,0.0,1.3620452471431101e-05,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,5.005349467243116e-06,0.0,1.0,2.0351499469407337e-05,2.907357067058191e-06,0.0,0.0,0.0,,,,1.0,1.8732270198948418e-06,1.1707668874342761e-07
2020-03-02,,,,,1.0,,0.0,3.0,,0.0,1.0,,1.0,,,,,,,,0.0,,6.0,10.0,0.0,,22.0,,,,,,,,,,,,,0.0,3.4706315161106715e-06,0.0,,,,0.0,0.0,0.0,0.0,6.057558924904442e-06,0.0,,,,0.0,0.0,0.0,0.0,1.3620452471431101e-05,0.0,,,,,5.619113978107932e-06,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,2.0,7.508024200864674e-06,2.502674733621558e-06,3.0,2.9073570670581907e-05,8.722071201174572e-06,0.0,0.0,0.0,,,,6.0,2.5756871523554076e-06,7.024601324605656e-07
2020-03-03,,,,,1.0,,0.0,4.0,,0.0,1.0,,1.0,,,,,,,,0.0,,8.0,12.0,0.0,,27.0,,,,,,,,,,,,,0.0,3.4706315161106715e-06,0.0,,,,0.0,0.0,0.0,1.0,8.076745233205922e-06,2.0191863083014806e-06,,,,0.0,0.0,0.0,0.0,1.3620452471431101e-05,0.0,,,,0.0,5.619113978107932e-06,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,2.0,1.0010698934486233e-05,2.502674733621558e-06,2.0,3.488828480469829e-05,5.814714134116382e-06,0.0,0.0,0.0,,,,5.0,3.1610705960725456e-06,5.85383443717138e-07
2020-03-04,,,,,1.0,,0.0,4.0,,0.0,1.0,,4.0,,,,,,1.0,,0.0,,11.0,13.0,0.0,,35.0,,,,,,,,,,,,,0.0,3.4706315161106715e-06,0.0,,,,0.0,0.0,0.0,0.0,8.076745233205922e-06,0.0,,,,0.0,0.0,0.0,0.0,1.3620452471431101e-05,0.0,,,,3.0,2.247645591243173e-05,1.6857341934323796e-05,,,,,,,,,,,,,,,,,6.282788301448183e-06,,,,,0.0,0.0,0.0,,,,3.0,1.376471103491857e-05,3.754012100432337e-06,1.0,3.779564187175648e-05,2.907357067058191e-06,0.0,0.0,0.0,,,,8.0,4.097684106019967e-06,9.366135099474209e-07
2020-03-05,,,,,1.0,1.0,0.0,5.0,,0.0,2.0,,4.0,,,,,,,,0.0,,14.0,11.0,0.0,,39.0,,,,,,,,,,,,,0.0,3.4706315161106715e-06,0.0,,5.134366367846544e-06,,0.0,0.0,0.0,1.0,1.0095931541507403e-05,2.0191863083014806e-06,,,,0.0,0.0,0.0,1.0,2.7240904942862202e-05,1.3620452471431101e-05,,,,0.0,2.247645591243173e-05,0.0,,,,,,,,,,,,,,,,,6.282788301448183e-06,,,,,0.0,0.0,0.0,,,,3.0,1.7518723135350907e-05,3.754012100432337e-06,-2.0,3.19809277376401e-05,-5.814714134116382e-06,0.0,0.0,0.0,,,,4.0,4.565990860993677e-06,4.6830675497371045e-07
2020-03-06,,,,,4.0,1.0,0.0,7.0,,0.0,5.0,,2.0,,,,,,,,0.0,,15.0,12.0,0.0,,47.0,,,,,,,,,,,,,3.0,1.3882526064442686e-05,1.0411894548332014e-05,0.0,5.134366367846544e-06,0.0,0.0,0.0,0.0,2.0,1.4134304158110365e-05,4.038372616602961e-06,,,,0.0,0.0,0.0,3.0,6.810226235715551e-05,4.0861357414293305e-05,,,,-2.0,1.1238227956215864e-05,-1.1238227956215864e-05,,,,,,,,,,,,,,,,,6.282788301448183e-06,,,,,0.0,0.0,0.0,,,,1.0,1.8770060502161686e-05,1.251337366810779e-06,1.0,3.488828480469829e-05,2.907357067058191e-06,0.0,0.0,0.0,,,,8.0,5.502604370941098e-06,9.366135099474209e-07
2020-03-07,,,,,4.0,1.0,0.0,7.0,,0.0,5.0,,2.0,,,,,,,,0.0,,16.0,12.0,0.0,,48.0,,,,,,,,,,,,,0.0,1.3882526064442686e-05,0.0,0.0,5.134366367846544e-06,0.0,0.0,0.0,0.0,0.0,1.4134304158110365e-05,0.0,,,,0.0,0.0,0.0,0.0,6.810226235715551e-05,0.0,,,,0.0,1.1238227956215864e-05,0.0,,,,,,,,,,,,,,,,,6.282788301448183e-06,,,,,0.0,0.0,0.0,,,,1.0,2.0021397868972466e-05,1.251337366810779e-06,0.0,3.488828480469829e-05,0.0,0.0,0.0,0.0,,,,1.0,5.619681059684525e-06,1.1707668874342761e-07
2020-03-08,,,,,4.0,1.0,0.0,9.0,,0.0,5.0,,3.0,,,,,,,,0.0,,22.0,16.0,0.0,,61.0,,,,,,,,,,,,,0.0,1.3882526064442686e-05,0.0,0.0,5.134366367846544e-06,0.0,0.0,0.0,0.0,2.0,1.8172676774713326e-05,4.038372616602961e-06,,,,0.0,0.0,0.0,0.0,6.810226235715551e-05,0.0,,,,1.0,1.6857341934323796e-05,5.619113978107932e-06,,,,,,,,,,,,,,,,,6.282788301448183e-06,,,,,0.0,0.0,0.0,,,,6.0,2.752942206983714e-05,7.508024200864674e-06,4.0,4.6517713072931054e-05,1.1629428268232763e-05,0.0,0.0,0.0,,,,13.0,7.141678013349084e-06,1.5219969536645588e-06
