Date,AG,AI,AR,BE,BL,BS,FR,GE,GL,GR,JU,LU,NE,NW,OW,SG,SH,SO,SZ,TG,TI,UR,VD,VS,ZG,ZH,CH
2020-05-31,0.0,,,,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0
2020-06-01,5.0,,,,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,,1.0,0.0,,6.0
2020-06-02,10.0,,,,0.0,0.0,0.0,10.0,,,,,,,,,,,0.0,0.0,2.0,0.0,,1.0,5.0,,28.0
2020-06-03,15.0,,,,0.0,0.0,0.0,14.0,,,,,,,,6.0,,,0.0,0.0,4.0,,,2.0,5.0,,46.0
2020-06-04,15.0,,,,0.0,1.0,0.0,20.0,,,,,,,,,,,0.0,0.0,7.0,,,2.0,5.0,,56.0
2020-06-05,15.0,,,,0.0,1.0,0.0,24.0,,,,,,,,,,,0.0,0.0,7.0,,,2.0,5.0,,60.0
2020-06-06,15.0,,,,1.0,3.0,0.0,,,,,,,,,,,,0.0,0.0,8.0,,,2.0,5.0,,64.0
2020-06-07,15.0,,,,2.0,3.0,0.0,,,,,,,,,,,,0.0,0.0,9.0,,,2.0,5.0,,66.0
2020-06-08,15.0,,,,2.0,5.0,0.0,,,,,,,,,6.0,,,0.0,0.0,10.0,,,2.0,5.0,,69.0
2020-06-09,20.0,,,,3.0,5.0,0.0,29.0,,,,,,,,,,,0.0,0.0,11.0,,,2.0,5.0,,81.0
2020-06-10,20.0,,,,4.0,5.0,0.0,34.0,,,,,,,,,,,0.0,0.0,12.0,,,3.0,6.0,,90.0
2020-06-11,20.0,,,,5.0,6.0,0.0,38.0,,,,,,,,,,,0.0,0.0,12.0,,,3.0,6.0,,96.0
2020-06-12,30.0,,,,5.0,7.0,0.0,39.0,,,,,,,,,,,0.0,0.0,12.0,,,3.0,6.0,,108.0
2020-06-13,30.0,,,,6.0,8.0,0.0,,,,,,,,,,,,0.0,0.0,12.0,,,5.0,6.0,,112.0
2020-06-14,30.0,,,,6.0,9.0,0.0,,,,,,,,,,,,0.0,0.0,13.0,,,5.0,6.0,,114.0
2020-06-15,30.0,,,,7.0,9.0,0.0,47.0,,,,,,,,6.0,,,0.0,0.0,13.0,,,5.0,9.0,,126.0
2020-06-16,30.0,,,,7.0,9.0,0.0,50.0,,,,,,,,,,,0.0,0.0,13.0,,,6.0,9.0,,130.0
2020-06-17,35.0,,,,7.0,9.0,1.0,51.0,,,,,,,,,,,0.0,1.0,13.0,,,6.0,9.0,,138.0
2020-06-18,35.0,,,,7.0,10.0,1.0,54.0,,,,,,,,,,,0.0,1.0,14.0,,,7.0,10.0,,145.0
