Date,Affoltern,Andelfingen,Bülach,Dielsdorf,Dietikon,Hinwil,Horgen,Meilen,Pfäffikon,Uster,Winterthur,Total
2020-02-28,0,0,0,0,0,0,0,0,0,0,0,7
2020-03-06,1,0,4,0,2,2,2,3,1,1,3,20
2020-03-13,7,1,20,13,22,9,19,15,7,12,25,90
2020-03-20,30,22,64,44,59,40,87,80,18,67,87,307
2020-03-27,64,37,115,80,91,83,142,134,41,111,147,541
2020-04-03,83,60,176,119,126,114,201,169,69,168,233,747
2020-04-10,93,66,208,158,147,152,225,201,95,207,290,924
2020-04-17,95,71,231,167,173,166,234,208,109,220,340,986
2020-04-24,98,75,242,171,200,173,241,211,112,230,361,1047
2020-05-01,100,77,247,175,208,178,245,217,114,233,373,1086
2020-05-08,101,77,251,179,214,181,249,219,114,235,381,1112
2020-05-15,102,77,251,181,216,181,252,220,115,236,387,1122
2020-05-22,102,77,254,182,217,183,255,220,115,237,388,1127
2020-05-29,102,77,259,186,219,183,255,221,116,237,392,1138
2020-06-05,102,77,263,186,221,185,255,222,116,239,394,1148
2020-06-12,102,77,265,187,222,185,255,222,117,240,397,1154
2020-06-19,103,78,277,189,227,185,255,224,118,244,402,1163
2020-06-26,104,78,291,193,236,188,260,225,120,250,405,1187
2020-07-03,107,79,307,203,259,204,276,239,126,280,417,1224
2020-07-10,111,80,335,209,266,213,287,252,128,287,435,1254
2020-07-17,115,80,353,219,276,229,296,261,133,300,449,1294
2020-07-24,119,82,382,225,284,243,310,272,140,313,468,1314
2020-07-31,125,89,399,235,291,262,316,277,157,332,493,1361
2020-08-07,133,91,429,248,308,279,323,290,161,348,517,1411
