Date,AG,AI,AR,BE,BL,BS,FR,GE,GL,GR,JU,LU,NE,NW,OW,SG,SH,SO,SZ,TG,TI,UR,VD,VS,ZG,ZH,CH
2020-02-25,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,0.0
2020-02-26,,,,,,,,0.0,,0.0,,,,,,,,,,,0.0,,,,,,0.0
2020-02-27,,,,,,,,0.0,,0.0,0.0,,,,,,,,,,0.0,,,,,,0.0
2020-02-28,,,,,,,,0.0,,0.0,0.0,,,,,,,,,,0.0,,,0.0,,,0.0
2020-02-29,,,,,,,,0.0,,0.0,0.0,,,,,,,,,,0.0,,,0.0,0.0,,0.0
2020-03-01,,,,,,,,0.0,,0.0,0.0,,,,,,,,,,0.0,,,0.0,0.0,,0.0
2020-03-02,,,,,,,,0.0,,0.0,0.0,,,,,,,,,,0.0,,,0.0,0.0,,0.0
2020-03-03,,,,,,,,0.0,,0.0,0.0,,,,,,,,,,0.0,,,0.0,0.0,,0.0
2020-03-04,,,,,,,,0.0,,0.0,0.0,,,,,,,,,,0.0,,,0.0,0.0,,0.0
2020-03-05,,,,,,,,0.0,,0.0,0.0,,,,,,,,,0.0,0.0,,,0.0,0.0,,0.0
2020-03-06,,,,,,,,0.0,,0.0,0.0,,,,,,,,,0.0,0.0,,1.0,0.0,0.0,,1.0
2020-03-07,,,,,,,,0.0,,0.0,0.0,,,,,,,,,0.0,0.0,,1.0,0.0,0.0,,1.0
2020-03-08,,,,,1.0,,,0.0,,0.0,0.0,,,,,,,,,0.0,0.0,,1.0,0.0,0.0,,2.0
2020-03-09,,,,,1.0,,,0.0,,0.0,0.0,,,,,,,,,0.0,0.0,,1.0,0.0,0.0,,2.0
2020-03-10,,,,,1.0,,,1.0,0.0,0.0,0.0,,,,,,,,,0.0,1.0,,1.0,0.0,0.0,,4.0
2020-03-11,,,,,2.0,,0.0,1.0,0.0,0.0,0.0,,,,,,0.0,,,0.0,1.0,,1.0,0.0,0.0,,5.0
2020-03-12,,,,,2.0,1.0,0.0,2.0,0.0,0.0,0.0,,,,,,0.0,,,0.0,1.0,,3.0,0.0,0.0,,9.0
2020-03-13,,,,,2.0,1.0,0.0,2.0,0.0,0.0,0.0,,,,,,0.0,,,0.0,1.0,,3.0,1.0,0.0,,10.0
2020-03-14,,0.0,,,2.0,1.0,0.0,2.0,0.0,0.0,0.0,,,,,,0.0,,,0.0,3.0,,5.0,1.0,0.0,,14.0
2020-03-15,,,,,2.0,,0.0,4.0,0.0,0.0,0.0,,,,,,0.0,,,0.0,6.0,,6.0,2.0,0.0,1.0,22.0
2020-03-16,,0.0,,1.0,2.0,4.0,0.0,4.0,0.0,1.0,0.0,,,,,,0.0,,,1.0,8.0,,9.0,3.0,0.0,1.0,34.0
2020-03-17,,0.0,,,2.0,4.0,0.0,5.0,0.0,1.0,0.0,,1.0,,,,0.0,,,2.0,10.0,,11.0,3.0,0.0,1.0,41.0
2020-03-18,,,,1.0,2.0,4.0,0.0,6.0,0.0,1.0,0.0,,2.0,,,,0.0,,,2.0,12.0,,14.0,4.0,0.0,2.0,50.0
2020-03-19,,0.0,,1.0,2.0,4.0,1.0,7.0,0.0,2.0,0.0,,3.0,,,,0.0,,,3.0,13.0,,15.0,6.0,0.0,3.0,60.0
2020-03-20,1.0,,,2.0,3.0,4.0,1.0,9.0,0.0,3.0,0.0,,3.0,,,,0.0,,,3.0,22.0,,21.0,7.0,0.0,4.0,83.0
2020-03-21,,,1.0,3.0,3.0,5.0,2.0,9.0,0.0,4.0,0.0,1.0,4.0,,,,0.0,,,3.0,28.0,,24.0,10.0,0.0,5.0,103.0
2020-03-22,1.0,,,,3.0,5.0,3.0,10.0,0.0,4.0,0.0,1.0,4.0,,,,0.0,,,3.0,37.0,,26.0,11.0,0.0,6.0,118.0
2020-03-23,1.0,,1.0,5.0,3.0,5.0,4.0,15.0,0.0,5.0,0.0,1.0,5.0,,0.0,1.0,0.0,1.0,,3.0,48.0,,30.0,13.0,0.0,6.0,147.0
2020-03-24,2.0,0.0,2.0,6.0,4.0,5.0,5.0,16.0,0.0,6.0,0.0,2.0,6.0,,0.0,1.0,0.0,1.0,0.0,3.0,53.0,,34.0,14.0,0.0,8.0,168.0
2020-03-25,2.0,0.0,2.0,6.0,5.0,8.0,6.0,23.0,0.0,8.0,0.0,2.0,9.0,,0.0,1.0,0.0,1.0,0.0,3.0,60.0,,42.0,15.0,0.0,10.0,203.0
2020-03-26,2.0,0.0,2.0,7.0,5.0,12.0,11.0,25.0,0.0,8.0,0.0,3.0,12.0,,0.0,1.0,0.0,1.0,0.0,3.0,67.0,,59.0,17.0,0.0,13.0,248.0
2020-03-27,3.0,0.0,2.0,8.0,5.0,13.0,14.0,32.0,0.0,9.0,0.0,3.0,13.0,,0.0,2.0,0.0,1.0,1.0,4.0,76.0,,63.0,21.0,0.0,15.0,285.0
2020-03-28,,0.0,2.0,9.0,5.0,13.0,15.0,40.0,1.0,12.0,0.0,4.0,15.0,,,5.0,0.0,1.0,1.0,4.0,87.0,,74.0,25.0,1.0,19.0,336.0
2020-03-29,,,2.0,10.0,6.0,15.0,15.0,48.0,1.0,15.0,0.0,5.0,18.0,,,5.0,0.0,2.0,2.0,6.0,93.0,,84.0,31.0,1.0,22.0,384.0
2020-03-30,8.0,0.0,2.0,13.0,7.0,15.0,17.0,58.0,2.0,19.0,0.0,6.0,20.0,,0.0,7.0,0.0,,2.0,6.0,105.0,,97.0,35.0,1.0,24.0,446.0
2020-03-31,11.0,0.0,2.0,16.0,10.0,16.0,20.0,68.0,2.0,23.0,0.0,7.0,22.0,,0.0,7.0,1.0,2.0,4.0,7.0,120.0,,110.0,37.0,1.0,27.0,513.0
2020-04-01,11.0,,3.0,20.0,11.0,18.0,23.0,77.0,2.0,26.0,0.0,7.0,24.0,,0.0,7.0,1.0,3.0,4.0,7.0,132.0,1.0,121.0,40.0,1.0,36.0,575.0
2020-04-02,12.0,0.0,3.0,23.0,12.0,19.0,26.0,85.0,2.0,28.0,0.0,7.0,27.0,,0.0,8.0,1.0,3.0,4.0,7.0,141.0,1.0,143.0,47.0,1.0,39.0,639.0
2020-04-03,12.0,0.0,3.0,26.0,14.0,21.0,31.0,92.0,2.0,30.0,0.0,7.0,28.0,,0.0,8.0,1.0,3.0,4.0,7.0,155.0,1.0,162.0,51.0,1.0,41.0,700.0
2020-04-04,,0.0,3.0,28.0,19.0,24.0,37.0,106.0,2.0,30.0,0.0,7.0,30.0,,,9.0,1.0,3.0,5.0,7.0,165.0,1.0,175.0,53.0,2.0,48.0,767.0
2020-04-05,,,3.0,28.0,19.0,26.0,40.0,113.0,2.0,33.0,0.0,9.0,31.0,,,9.0,1.0,3.0,5.0,7.0,177.0,2.0,188.0,57.0,2.0,52.0,819.0
2020-04-06,13.0,0.0,3.0,31.0,19.0,26.0,41.0,125.0,2.0,34.0,0.0,9.0,36.0,,0.0,11.0,1.0,3.0,6.0,7.0,189.0,2.0,204.0,60.0,3.0,54.0,879.0
2020-04-07,16.0,0.0,3.0,33.0,19.0,28.0,44.0,136.0,2.0,35.0,0.0,9.0,40.0,,0.0,13.0,1.0,3.0,7.0,8.0,198.0,2.0,216.0,68.0,3.0,56.0,940.0
2020-04-08,16.0,0.0,3.0,37.0,21.0,31.0,45.0,150.0,2.0,35.0,1.0,9.0,42.0,,0.0,15.0,1.0,3.0,7.0,8.0,211.0,4.0,228.0,71.0,3.0,64.0,1007.0
2020-04-09,17.0,0.0,3.0,38.0,21.0,33.0,46.0,159.0,2.0,36.0,1.0,9.0,44.0,,0.0,16.0,1.0,5.0,9.0,8.0,219.0,4.0,242.0,77.0,3.0,66.0,1059.0
2020-04-10,18.0,,3.0,42.0,22.0,33.0,49.0,170.0,2.0,36.0,3.0,9.0,44.0,,,17.0,1.0,5.0,10.0,8.0,227.0,4.0,250.0,83.0,3.0,71.0,1110.0
2020-04-11,18.0,0.0,3.0,44.0,22.0,33.0,53.0,179.0,2.0,36.0,3.0,10.0,47.0,1.0,,18.0,1.0,6.0,10.0,8.0,229.0,4.0,256.0,85.0,4.0,77.0,1149.0
2020-04-12,18.0,,,49.0,23.0,33.0,54.0,187.0,2.0,36.0,3.0,10.0,52.0,1.0,,21.0,1.0,7.0,11.0,8.0,244.0,4.0,265.0,91.0,5.0,79.0,1207.0
2020-04-13,19.0,0.0,3.0,49.0,24.0,34.0,55.0,191.0,2.0,37.0,3.0,10.0,55.0,1.0,,21.0,1.0,7.0,12.0,8.0,251.0,4.0,273.0,93.0,5.0,83.0,1241.0
2020-04-14,19.0,0.0,3.0,49.0,25.0,34.0,57.0,196.0,2.0,37.0,3.0,11.0,58.0,1.0,0.0,21.0,1.0,8.0,13.0,10.0,258.0,4.0,284.0,94.0,5.0,87.0,1280.0
2020-04-15,22.0,0.0,3.0,53.0,25.0,36.0,63.0,203.0,2.0,38.0,3.0,12.0,59.0,2.0,0.0,23.0,1.0,8.0,13.0,11.0,263.0,4.0,301.0,94.0,5.0,91.0,1335.0
2020-04-16,23.0,0.0,3.0,55.0,25.0,37.0,65.0,211.0,3.0,39.0,3.0,13.0,61.0,2.0,0.0,25.0,1.0,8.0,14.0,11.0,269.0,5.0,314.0,95.0,6.0,95.0,1383.0
2020-04-17,24.0,0.0,3.0,67.0,25.0,37.0,67.0,217.0,3.0,40.0,3.0,14.0,64.0,3.0,0.0,27.0,1.0,9.0,14.0,12.0,270.0,5.0,322.0,99.0,6.0,100.0,1432.0
2020-04-18,25.0,,,69.0,25.0,40.0,69.0,221.0,3.0,40.0,3.0,15.0,64.0,3.0,,27.0,1.0,10.0,14.0,13.0,277.0,5.0,330.0,104.0,7.0,105.0,1473.0
2020-04-19,25.0,0.0,,69.0,25.0,40.0,71.0,225.0,3.0,41.0,5.0,15.0,66.0,3.0,,27.0,1.0,11.0,15.0,13.0,281.0,5.0,336.0,107.0,7.0,105.0,1499.0
2020-04-20,28.0,0.0,3.0,73.0,25.0,42.0,72.0,228.0,5.0,42.0,6.0,15.0,69.0,3.0,0.0,27.0,1.0,11.0,15.0,13.0,288.0,5.0,347.0,110.0,7.0,107.0,1542.0
2020-04-21,29.0,0.0,3.0,77.0,26.0,44.0,74.0,234.0,6.0,43.0,6.0,15.0,70.0,3.0,0.0,29.0,2.0,11.0,16.0,13.0,291.0,5.0,356.0,115.0,8.0,109.0,1585.0
2020-04-22,31.0,0.0,3.0,77.0,26.0,45.0,76.0,242.0,6.0,43.0,6.0,15.0,72.0,3.0,0.0,29.0,3.0,11.0,16.0,14.0,295.0,5.0,361.0,118.0,8.0,110.0,1615.0
2020-04-23,31.0,0.0,3.0,79.0,26.0,45.0,76.0,247.0,6.0,43.0,6.0,15.0,72.0,3.0,0.0,31.0,3.0,12.0,16.0,14.0,298.0,5.0,371.0,123.0,8.0,113.0,1646.0
2020-04-24,31.0,0.0,3.0,82.0,30.0,46.0,76.0,253.0,7.0,44.0,6.0,16.0,74.0,3.0,0.0,31.0,3.0,14.0,16.0,14.0,299.0,5.0,374.0,127.0,8.0,114.0,1676.0
2020-04-25,,0.0,,83.0,30.0,46.0,76.0,255.0,7.0,44.0,6.0,16.0,75.0,3.0,,31.0,5.0,14.0,17.0,14.0,304.0,5.0,384.0,129.0,8.0,115.0,1701.0
2020-04-26,,,,83.0,30.0,46.0,77.0,257.0,7.0,44.0,6.0,16.0,77.0,3.0,,31.0,5.0,15.0,18.0,16.0,306.0,5.0,389.0,131.0,8.0,115.0,1719.0
2020-04-27,33.0,0.0,3.0,83.0,30.0,46.0,78.0,259.0,7.0,45.0,7.0,16.0,77.0,3.0,0.0,31.0,5.0,15.0,18.0,17.0,311.0,5.0,393.0,132.0,8.0,119.0,1741.0
2020-04-28,33.0,0.0,3.0,83.0,30.0,49.0,78.0,261.0,8.0,45.0,7.0,17.0,78.0,3.0,0.0,33.0,6.0,15.0,20.0,17.0,316.0,5.0,400.0,135.0,8.0,119.0,1769.0
2020-04-29,33.0,0.0,3.0,83.0,30.0,49.0,78.0,262.0,9.0,45.0,7.0,17.0,78.0,3.0,0.0,33.0,6.0,15.0,20.0,17.0,318.0,5.0,401.0,136.0,8.0,121.0,1777.0
2020-04-30,33.0,0.0,3.0,85.0,30.0,50.0,78.0,265.0,10.0,45.0,7.0,17.0,80.0,3.0,0.0,33.0,6.0,15.0,20.0,17.0,321.0,5.0,403.0,138.0,8.0,123.0,1795.0
2020-05-01,43.0,0.0,3.0,86.0,32.0,50.0,78.0,268.0,11.0,45.0,7.0,17.0,80.0,3.0,0.0,33.0,6.0,15.0,21.0,17.0,322.0,6.0,408.0,138.0,8.0,123.0,1820.0
2020-05-02,43.0,,3.0,90.0,32.0,50.0,79.0,271.0,11.0,45.0,7.0,17.0,80.0,3.0,,,6.0,15.0,21.0,17.0,323.0,6.0,412.0,140.0,8.0,123.0,1835.0
2020-05-03,43.0,,3.0,90.0,32.0,50.0,79.0,272.0,11.0,45.0,7.0,18.0,81.0,3.0,,,6.0,15.0,21.0,17.0,324.0,6.0,414.0,142.0,8.0,123.0,1843.0
2020-05-04,43.0,0.0,3.0,90.0,32.0,50.0,79.0,274.0,12.0,45.0,7.0,18.0,81.0,3.0,0.0,33.0,6.0,15.0,21.0,17.0,326.0,6.0,414.0,142.0,8.0,123.0,1848.0
2020-05-05,43.0,0.0,3.0,90.0,32.0,50.0,80.0,275.0,12.0,45.0,7.0,18.0,81.0,3.0,0.0,33.0,6.0,15.0,22.0,17.0,329.0,7.0,415.0,146.0,8.0,124.0,1861.0
2020-05-06,43.0,0.0,3.0,90.0,33.0,50.0,80.0,276.0,12.0,45.0,7.0,18.0,81.0,3.0,0.0,33.0,6.0,15.0,23.0,17.0,331.0,7.0,415.0,146.0,8.0,125.0,1867.0
2020-05-07,43.0,,3.0,90.0,33.0,50.0,80.0,281.0,12.0,46.0,7.0,19.0,82.0,3.0,0.0,33.0,6.0,15.0,23.0,17.0,332.0,7.0,416.0,146.0,8.0,125.0,1877.0
2020-05-08,43.0,,3.0,90.0,34.0,50.0,81.0,281.0,12.0,46.0,7.0,19.0,82.0,3.0,0.0,35.0,6.0,15.0,23.0,17.0,334.0,7.0,417.0,148.0,8.0,125.0,1886.0
2020-05-09,43.0,0.0,,92.0,34.0,50.0,82.0,283.0,12.0,46.0,7.0,19.0,82.0,3.0,,,6.0,,23.0,17.0,338.0,7.0,417.0,148.0,8.0,126.0,1896.0
2020-05-10,43.0,,,92.0,34.0,50.0,83.0,285.0,12.0,47.0,7.0,19.0,82.0,3.0,,,6.0,,,17.0,340.0,7.0,420.0,148.0,8.0,126.0,1905.0
2020-05-11,45.0,0.0,3.0,92.0,34.0,50.0,83.0,285.0,12.0,47.0,7.0,19.0,82.0,3.0,0.0,36.0,6.0,15.0,23.0,17.0,340.0,7.0,420.0,150.0,8.0,126.0,1910.0
2020-05-12,45.0,0.0,3.0,93.0,34.0,50.0,83.0,286.0,12.0,47.0,7.0,19.0,82.0,3.0,0.0,36.0,6.0,15.0,23.0,17.0,340.0,7.0,420.0,150.0,8.0,126.0,1912.0
2020-05-13,45.0,,,94.0,34.0,50.0,84.0,287.0,12.0,47.0,7.0,19.0,82.0,3.0,0.0,36.0,6.0,15.0,23.0,17.0,341.0,7.0,420.0,150.0,8.0,126.0,1916.0
2020-05-14,45.0,0.0,,94.0,34.0,50.0,84.0,287.0,12.0,48.0,7.0,19.0,82.0,3.0,0.0,36.0,6.0,15.0,23.0,17.0,341.0,7.0,422.0,150.0,8.0,126.0,1919.0
2020-05-15,46.0,,3.0,96.0,34.0,50.0,84.0,287.0,12.0,48.0,7.0,20.0,83.0,3.0,0.0,36.0,6.0,15.0,23.0,17.0,341.0,,422.0,150.0,8.0,127.0,1925.0
2020-05-16,46.0,0.0,,96.0,34.0,50.0,84.0,287.0,,48.0,7.0,20.0,83.0,3.0,,,,,23.0,17.0,341.0,7.0,422.0,150.0,8.0,127.0,1925.0
2020-05-17,46.0,,,96.0,35.0,50.0,84.0,289.0,,49.0,7.0,20.0,83.0,3.0,,,,,23.0,17.0,342.0,7.0,422.0,150.0,8.0,127.0,1930.0
2020-05-18,46.0,,3.0,96.0,35.0,50.0,84.0,290.0,12.0,49.0,7.0,20.0,83.0,3.0,0.0,36.0,6.0,16.0,23.0,17.0,343.0,7.0,422.0,152.0,8.0,127.0,1935.0
2020-05-19,46.0,,,96.0,35.0,50.0,84.0,290.0,12.0,49.0,7.0,20.0,83.0,3.0,0.0,36.0,6.0,16.0,23.0,17.0,344.0,7.0,422.0,152.0,8.0,128.0,1937.0
2020-05-20,46.0,0.0,3.0,96.0,35.0,50.0,84.0,290.0,12.0,49.0,7.0,20.0,83.0,3.0,0.0,36.0,6.0,16.0,23.0,18.0,344.0,7.0,422.0,152.0,8.0,128.0,1938.0
2020-05-21,46.0,,,96.0,35.0,50.0,84.0,293.0,12.0,49.0,7.0,,83.0,3.0,,,,16.0,23.0,18.0,344.0,7.0,422.0,152.0,8.0,129.0,1942.0
2020-05-22,46.0,,3.0,96.0,35.0,50.0,84.0,293.0,12.0,49.0,7.0,20.0,83.0,3.0,,,6.0,,23.0,18.0,345.0,7.0,422.0,152.0,8.0,130.0,1944.0
2020-05-23,46.0,,,96.0,35.0,50.0,84.0,293.0,,49.0,7.0,20.0,83.0,3.0,,,,,23.0,18.0,346.0,7.0,422.0,152.0,8.0,130.0,1945.0
2020-05-24,46.0,0.0,,96.0,35.0,50.0,84.0,293.0,,49.0,7.0,20.0,83.0,3.0,,,,,23.0,18.0,347.0,7.0,422.0,152.0,8.0,130.0,1946.0
2020-05-25,46.0,0.0,3.0,96.0,35.0,50.0,84.0,294.0,12.0,49.0,7.0,20.0,83.0,3.0,0.0,36.0,6.0,17.0,23.0,18.0,348.0,7.0,422.0,152.0,8.0,130.0,1949.0
2020-05-26,46.0,,,96.0,35.0,50.0,84.0,294.0,12.0,49.0,7.0,20.0,83.0,3.0,0.0,36.0,6.0,17.0,23.0,18.0,348.0,7.0,422.0,152.0,8.0,130.0,1949.0
2020-05-27,46.0,0.0,3.0,96.0,35.0,50.0,84.0,294.0,12.0,49.0,7.0,20.0,83.0,3.0,0.0,37.0,6.0,17.0,23.0,18.0,348.0,7.0,422.0,152.0,9.0,130.0,1951.0
